date,Secs-of-year,Calculated Date,"BX,_GSE","BY,_GSE","BZ,_GSE","BY,_GSM ","BZ,_GSM","VX_VELOCITY,_GSE","VY_VELOCITY,_GSE","VZ_VELOCITY,_GSE",TEMPERATURE,SYM
1998,3801600,1998-02-14,1.6,-4.44,-0.58,-3.55,-2.73,-382.3,-19.2,16.6,40709,-12
1998,3801900,1998-02-14,3.9,-1.72,1.24,-2.11,0.21,-369,-6.6,33.5,57155,-12
1998,3802200,1998-02-14,4.01,-1.2,2.53,-2.31,1.59,-365.1,1,45.9,58182,-13
1998,3802500,1998-02-14,3.9,-1.29,2.48,-2.36,1.51,-364.8,3.7,41.7,50818,-13
1998,3802800,1998-02-14,4.18,-1.24,2.01,-2.08,1.12,-360.8,7.5,43,61568,-13
1998,3803100,1998-02-14,4.05,-1.74,1.8,-2.4,0.7,-364.2,3,39.3,52783,-13
1998,3803400,1998-02-14,4.21,-1.85,1.38,-2.29,0.28,-363,-4.1,39,52152,-13
1998,3803700,1998-02-14,4.46,-1.38,1.01,-1.7,0.2,-361.1,-5.1,37,49706,-13
1998,3804000,1998-02-14,4.45,-0.45,1.4,-1.09,1,-359.1,-3.9,30.5,50380,-13
1998,3804300,1998-02-14,4.4,-0.95,1.22,-1.43,0.59,-360.3,5.1,35.2,56412,-13
1998,3804600,1998-02-14,3.99,-2.25,-0.15,-1.89,-1.24,-364.2,-7.7,36.8,59083,-14
1998,3804900,1998-02-14,4.09,-1.81,0.83,-1.98,-0.16,-365.6,-9.6,18.9,69556,-14
1998,3805200,1998-02-14,4.02,-2.09,-0.13,-1.76,-1.13,-365.1,-4.7,18.3,68256,-14
1998,3805500,1998-02-14,4.25,-1.72,-0.1,-1.45,-0.92,-361.8,-3.4,20.4,65976,-14
1998,3805800,1998-02-14,4.29,-1.57,-0.15,-1.3,-0.89,-359.5,-3.9,24,72219,-14
1998,3806100,1998-02-14,4.31,-1.34,-0.24,-1.06,-0.86,-357.9,4.4,17.8,73894,-15
1998,3806400,1998-02-14,4.4,-0.59,-0.74,-0.17,-0.93,-358.7,6.6,13.5,62336,-15
1998,3806700,1998-02-14,4.18,-1.07,-0.54,-0.68,-0.98,-357.9,4.4,10.8,64245,-15
1998,3807000,1998-02-14,3.93,-1.87,-0.44,-1.43,-1.27,-360.9,-4.4,14.9,63080,-15
1998,3807300,1998-02-14,4.23,-1.1,-0.7,-0.64,-1.14,-356.3,0.4,9.3,61787,-15
1998,3807600,1998-02-14,4.17,-1.32,-0.78,-0.8,-1.31,-354.4,-2.3,6.1,53803,-14
1998,3807900,1998-02-14,3.94,-1.65,-1.63,-0.69,-2.22,-355.8,-2.9,4.7,50718,-13
1998,3808200,1998-02-14,3.94,-1.14,-1.64,-0.24,-1.98,-358.5,-0.3,0.4,61962,-12
1998,3808500,1998-02-14,4.03,-1.26,-1.43,-0.45,-1.86,-356.7,-0.5,3,73794,-12
1998,3808800,1998-02-14,4.23,-0.71,-1.19,-0.09,-1.38,-354.3,2.1,7.4,60715,-12
1998,3809100,1998-02-14,4.33,0.43,-1.13,0.9,-0.8,-354.2,16.8,5.8,73122,-12
1998,3809400,1998-02-14,4.17,0.25,-1.22,0.78,-0.97,-356.4,12.9,1.7,63456,-11
1998,3809700,1998-02-14,4.23,-0.99,-0.92,-0.46,-1.27,-355.5,5,2.1,65219,-12
1998,3810000,1998-02-14,3.94,-0.94,-1.25,-0.27,-1.54,-356.7,-7.9,0.6,63824,-11
1998,3810300,1998-02-14,4.03,-1.27,-0.51,-0.91,-1.02,-353.3,-7.5,11.2,49764,-12
1998,3810600,1998-02-14,4.18,-0.94,-0.19,-0.76,-0.59,-351.8,4.5,13.1,51361,-12
1998,3810900,1998-02-14,4.23,-0.77,-0.09,-0.65,-0.42,-351.7,6.7,13.3,52784,-11
1998,3811200,1998-02-14,4.24,-0.48,-0.45,-0.24,-0.61,-351.5,8.9,11.6,53119,-11
1998,3811500,1998-02-14,4.18,-0.34,-0.75,0.02,-0.83,-352.7,8.5,4.9,63651,-11
1998,3811800,1998-02-14,4.17,-0.69,-0.78,-0.28,-1,-350.9,10.2,7.9,79886,-11
1998,3812100,1998-02-14,4.17,-0.87,-0.42,-0.61,-0.75,-351.1,5.5,7.7,64615,-10
1998,3812400,1998-02-14,4.21,-0.46,-0.45,-0.23,-0.6,-350.3,11.4,11.4,56798,-11
1998,3812700,1998-02-14,4.19,-0.45,-0.06,-0.38,-0.24,-350.5,10.5,12.4,57770,-11
1998,3813000,1998-02-14,4.16,-0.59,0.32,-0.66,0.04,-350.4,8.8,16.3,52810,-12
1998,3813300,1998-02-14,4.27,0.4,-0.01,0.37,0.15,-350.9,16.9,13.2,50446,-12
1998,3813600,1998-02-14,4.31,0.42,0.36,0.24,0.5,-351.6,17.3,15.9,48948,-12
1998,3813900,1998-02-14,3.84,-1.1,0.35,-1.14,-0.12,-355.3,4.8,14.5,50581,-12
1998,3814200,1998-02-14,2.84,-2.89,-0.06,-2.62,-1.23,-360.7,-6.3,13.2,58349,-13
1998,3814500,1998-02-14,3.36,-2.09,0.25,-2.02,-0.61,-352.1,1.2,16.1,58260,-13
1998,3814800,1998-02-14,3.82,-1.06,0.2,-1.05,-0.23,-355.3,-6,9,59839,-13
1998,3815100,1998-02-14,3.15,-2.3,-0.94,-1.75,-1.77,-353.3,4.3,12.1,64517,-13
1998,3815400,1998-02-14,3.57,-2.18,-0.83,-1.68,-1.61,-360.3,-7.9,4.6,61702,-13
1998,3815700,1998-02-14,3.98,-1.78,-0.55,-1.43,-1.19,-351.4,-8.4,7.2,57032,-13
1998,3816000,1998-02-14,3.83,-1.98,-0.79,-1.53,-1.49,-352.5,-6.5,2.4,49601,-13
1998,3816300,1998-02-14,3.75,-2.3,-0.07,-2.1,-0.94,-352.9,-10,12.7,64842,-13
1998,3816600,1998-02-14,3.67,-2.22,-0.94,-1.7,-1.7,-354.1,-5.6,0.1,63332,-11
1998,3816900,1998-02-14,4.03,-1.55,-0.67,-1.19,-1.2,-350.8,-7,5.1,38890,-11
1998,3817200,1998-02-14,4.25,-0.95,-0.47,-0.72,-0.78,-349,-12.5,2.6,41753,-11
1998,3817500,1998-02-14,3.92,-1.5,-1.27,-0.94,-1.72,-349.7,-16.1,0.3,38292,-11
1998,3817800,1998-02-14,3.72,-1.67,-1.35,-1.07,-1.86,-356.4,-11.5,-1.6,52862,-12
1998,3818100,1998-02-14,3.45,-1.89,-1.85,-1.11,-2.4,-355.5,-4.1,1.3,58753,-12
1998,3818400,1998-02-14,3.5,-2.22,-0.91,-1.76,-1.63,-355,-6.6,-3.1,49751,-11
1998,3818700,1998-02-14,3.14,-2.73,-1.14,-2.17,-2.01,-354.3,-7.4,4.6,48543,-11
1998,3819000,1998-02-14,3.17,-2.09,-2.11,-1.24,-2.7,-356.7,-2,3.1,48408,-11
1998,3819300,1998-02-14,3.27,-2.28,-0.87,-1.85,-1.59,-354.9,2.8,4.9,65306,-10
1998,3819600,1998-02-14,3.82,-1.29,-1.51,-0.71,-1.85,-355.9,7.3,-0.1,53142,-11
1998,3819900,1998-02-14,3.37,-2.37,-0.7,-2,-1.45,99999.9,99999.9,99999.9,10000000,-10
1998,3820200,1998-02-14,3.43,-2.65,-0.65,-2.3,-1.48,-354.7,-3.5,5.6,63942,-11
1998,3820500,1998-02-14,3.5,-2.48,-0.46,-2.2,-1.23,99999.9,99999.9,99999.9,10000000,-11
1998,3820800,1998-02-14,3.9,-1.53,0.83,-1.71,0.3,-351.2,-4.1,8.8,50007,-11
1998,3821100,1998-02-14,4.03,-1.09,0.87,-1.31,0.48,99999.9,99999.9,99999.9,10000000,-12
